#Wavelength	Counts	
747.84538	0.00000
747.84534	0.00000
747.84536	0.00000
747.84534	0.97087
747.84535	0.00000
747.84529	0.00000
747.84535	0.00000
747.84547	0.00000
747.84559	0.00000
747.84561	0.00000
747.84571	0.00000
747.84570	0.00000
747.84573	0.00000
747.84569	0.00000
747.84573	0.00000
747.84577	0.00000
747.84577	0.00000
747.84582	0.00000
747.84591	0.00000
747.84588	0.00000
747.84598	0.00000
747.84603	0.00000
747.84607	0.00000
747.84612	0.00000
747.84617	0.00000
747.84619	0.00000
747.84625	0.00000
747.84626	0.00000
747.84630	0.00000
747.84633	0.00000
747.84638	0.00000
747.84635	0.00000
747.84639	0.00000
747.84631	0.00000
747.84634	0.00000
747.84636	0.00000
747.84642	0.00000
747.84637	0.00000
747.84642	0.00000
747.84650	0.00000
747.84652	0.00000
747.84656	0.00000
747.84656	0.00000
747.84662	0.00000
747.84665	0.00000
747.84671	0.00000
747.84670	0.00000
747.84671	0.00000
747.84674	0.00000
747.84678	0.00000
747.84679	0.00000
747.84686	0.00000
747.84686	0.00000
747.84680	0.00000
747.84687	0.00000
747.84689	0.00000
747.84688	0.00000
747.84692	0.00000
747.84698	0.00000
747.84698	0.90090
747.84699	0.00000
747.84707	0.00000
747.84707	0.00000
747.84710	0.00000
747.84708	0.00000
747.84710	0.00000
747.84720	0.00000
747.84725	0.00000
747.84729	0.00000
747.84735	0.00000
747.84737	0.00000
747.84732	0.00000
747.84737	0.00000
747.84737	0.00000
747.84738	0.00000
747.84746	0.00000
747.84746	0.00000
747.84744	0.00000
747.84751	0.00000
747.84746	0.00000
747.84748	0.00000
747.84750	0.83333
747.84753	0.00000
747.84765	0.83333
747.84770	0.00000
747.84768	0.00000
747.84773	0.00000
747.84785	0.86207
747.84788	0.00000
747.84802	0.80645
747.84803	0.00000
747.84815	0.00000
747.84821	0.00000
747.84828	0.00000
747.84834	0.00000
747.84841	0.84388
747.84847	0.00000
747.84850	0.00000
747.84862	0.00000
747.84859	0.00000
747.84870	0.00000
747.84872	0.00000
747.84882	0.00000
747.84885	0.00000
747.84886	0.00000
747.84898	0.00000
747.84903	0.00000
747.84905	0.00000
747.84911	0.00000
747.84913	0.00000
747.84919	0.00000
747.84924	0.00000
747.84927	0.00000
747.84929	0.00000
747.84930	0.00000
747.84938	0.00000
747.84936	0.00000
747.84944	0.00000
747.84943	0.00000
747.84953	0.00000
747.84958	0.00000
747.84965	0.00000
747.84971	0.00000
747.84979	0.00000
747.84977	0.00000
747.84983	0.00000
747.84984	0.00000
747.84989	0.00000
747.84993	0.00000
747.84994	0.00000
747.85000	0.00000
747.85002	0.00000
747.85009	0.00000
747.85007	0.00000
747.85011	0.00000
747.85021	0.00000
747.85025	0.00000
747.85033	0.00000
747.85035	0.84034
747.85041	0.00000
747.85043	0.00000
747.85051	0.00000
747.85056	0.00000
747.85069	0.00000
747.85073	0.00000
747.85082	0.00000
747.85090	0.00000
747.85082	0.00000
747.85083	0.81967
747.85083	0.96618
747.85078	0.00000
747.85075	0.00000
747.85074	0.00000
747.85077	0.00000
747.85074	0.00000
747.85073	0.00000
747.85073	0.00000
747.85084	0.00000
747.85094	0.00000
747.85106	0.00000
747.85111	0.00000
747.85119	0.00000
747.85131	0.00000
747.85138	0.00000
747.85141	0.00000
747.85144	0.00000
747.85151	0.00000
747.85154	0.85470
747.85150	0.00000
747.85165	0.00000
747.85167	0.97087
747.85177	0.00000
747.85185	0.00000
747.85189	0.00000
747.85190	0.00000
747.85196	0.00000
747.85210	0.00000
747.85208	0.00000
747.85219	0.00000
747.85218	0.00000
747.85232	0.00000
747.85235	0.00000
747.85248	0.00000
747.85254	0.00000
747.85262	0.84034
747.85265	0.00000
747.85274	0.00000
747.85279	0.00000
747.85289	0.00000
747.85295	0.00000
747.85301	0.00000
747.85301	0.89286
747.85306	0.00000
747.85314	0.83333
747.85317	0.00000
747.85317	0.88496
